p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.67724012588637e-76	1.28688136472969	0.699	0.215	4.36971369997176e-72	0	CCR6
4.5640978754784e-70	1.47738447182137	0.958	0.653	1.18908441949839e-65	0	LMNA
4.27590202333814e-63	1.27038640201476	0.801	0.339	1.11400075414029e-58	0	CDKN1A
9.0207860646048e-57	0.797308809196297	0.31	0.051	2.35018539341149e-52	0	MCAM
9.72327358178629e-57	1.0029137024469	0.488	0.129	2.53320446626278e-52	0	LMO4
2.30600074576414e-56	1.27977342667649	0.958	0.599	6.00782374293931e-52	0	ANXA1
5.35342846831267e-56	0.980037094714641	0.395	0.087	1.3947287188495e-51	0	GNA15
5.76428998200645e-56	1.09112641599071	0.855	0.429	1.50177046901214e-51	0	RORA
3.50430123707949e-55	1.00846418184639	0.988	0.942	9.12975601296318e-51	0	VIM
1.0439440594742e-53	1.02607094716479	0.979	0.664	2.71978745814814e-49	0	IL7R
5.20500169817773e-53	1.25209029959836	0.651	0.236	1.35605909242624e-48	0	ANKRD28
5.65714000370624e-52	1.75061272113991	0.283	0.047	1.47385468516559e-47	0	CCL20
9.37698194525421e-49	0.946774196191035	0.373	0.089	2.44298510619708e-44	0	MIR22HG
4.65152427533319e-48	1.00187968931826	0.819	0.418	1.21186161945256e-43	0	PTGER4
3.86012110045162e-47	0.958149097311358	0.768	0.348	1.00567735030066e-42	0	PER1
3.63531369458461e-46	1.16829656514674	0.804	0.421	9.4710827685013e-42	0	TOB1
4.10728149436589e-43	0.980811757856676	0.87	0.563	1.07007004772715e-38	0	SLC2A3
1.34781154013806e-42	1.07852530848583	0.943	0.668	3.51145340552169e-38	0	EZR
1.25342583804038e-41	0.579089684991271	0.199	0.027	3.26555033584661e-37	0	RORC
1.05816826831018e-40	0.859219937069872	0.611	0.249	2.75684578942852e-36	0	KDM6B
6.63467663520936e-40	1.06308349294599	0.756	0.391	1.72853230377109e-35	0	CRYBG1
1.23594099229402e-39	0.884438197390935	0.714	0.35	3.21999706722362e-35	0	TIPARP
5.15089248400667e-38	0.852837554157117	0.627	0.267	1.34196201885826e-33	0	CCDC107
2.22115755398072e-37	0.89317109965445	0.596	0.235	5.78678177538597e-33	0	KLRB1
4.60758307985573e-36	0.711484347266528	0.283	0.067	1.20041361979481e-31	0	AMPD2
1.69868197721607e-34	1.09613579495442	0.554	0.236	4.42557615524102e-30	0	PLIN2
5.65932704451315e-34	0.998650242104578	0.63	0.291	1.47442447490701e-29	0	AHR
5.8298176620425e-34	0.680096227769273	0.997	0.914	1.51884239549193e-29	0	SRGN
9.51438371582274e-34	0.747297116581464	0.952	0.755	2.4787823894833e-29	0	AHNAK
1.26650220147304e-33	0.601527952414785	0.108	0.008	3.29961818549771e-29	0	IL17F
4.53967176234215e-33	0.69123810891892	0.991	0.869	1.182720684243e-28	0	ZFP36
5.21809068994162e-33	0.424577172737176	0.994	0.985	1.35946916745049e-28	0	TPT1
1.80643928197777e-31	0.684715799373306	0.542	0.224	4.70631626133669e-27	0	PBX4
2.47719254991069e-31	0.824355633189234	0.605	0.276	6.45382975028232e-27	0	PDE4D
2.56042108960164e-31	0.659287397041708	0.997	0.943	6.67066506473915e-27	0	UBC
2.0329861237386e-30	0.77480456895852	0.554	0.244	5.29653874817617e-26	0	GNA13
2.22575822469855e-30	1.18726497203028	0.617	0.316	5.79876790280713e-26	0	ATP1B3
2.90686296478087e-30	0.608299179760021	0.265	0.067	7.57325008214359e-26	0	PTPN13
