p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.53151456322584	0.96	0.041	0	0	ACKR1
0	3.82717298180293	0.892	0.063	0	0	CCL14
0	3.57955501458367	0.938	0.094	0	0	VWF
0	3.49175605208082	0.481	0.02	0	0	SELE
0	2.88003384563038	0.951	0.311	0	0	AQP1
0	2.82423493398908	0.976	0.164	0	0	PECAM1
0	2.67186736430278	0.916	0.089	0	0	PLVAP
0	2.64411480796042	0.889	0.075	0	0	RAMP3
0	2.40464014686214	0.425	0.045	0	0	C2CD4B
0	2.31496157277317	0.828	0.084	0	0	TSPAN7
0	2.24536606069741	0.946	0.28	0	0	NPDC1
0	2.24445972934079	0.926	0.314	0	0	ENG
0	2.22670488862857	0.911	0.099	0	0	ECSCR
0	2.07411598798224	0.884	0.174	0	0	EGFL7
0	2.01171690162696	0.981	0.427	0	0	SPARCL1
0	1.9115367532999	0.929	0.434	0	0	HSPG2
0	1.90981680280496	0.824	0.09	0	0	ADGRL4
0	1.90680647562295	0.939	0.258	0	0	RAMP2
0	1.90190791116283	0.972	0.352	0	0	IFI27
0	1.89677674972636	0.901	0.391	0	0	CLU
0	1.89151423238459	0.607	0.027	0	0	MMRN1
0	1.89145223595776	0.855	0.323	0	0	PRCP
0	1.8831912306689	0.574	0.035	0	0	SLCO2A1
0	1.86907416177856	0.824	0.132	0	0	GIMAP7
0	1.86216128801924	0.911	0.221	0	0	TM4SF1
0	1.84127465887997	0.669	0.267	0	0	ICAM1
0	1.80937735018464	0.738	0.109	0	0	MCTP1
0	1.80810625221672	0.947	0.399	0	0	GNG11
0	1.79929355413632	0.994	0.464	0	0	CD74
0	1.79752546968016	0.729	0.218	0	0	ID1
0	1.78133844207306	0.779	0.195	0	0	IL33
0	1.76863437371762	0.781	0.271	0	0	DUSP23
0	1.75780970604351	0.663	0.127	0	0	LIFR
0	1.7433465235991	0.675	0.081	0	0	RASA4
0	1.73445580365252	0.784	0.101	0	0	SOX18
0	1.7251982345846	0.778	0.123	0	0	JAM2
0	1.69716371735671	0.354	0.072	0	0	TNFRSF6B
0	1.67447558727329	0.49	0.06	0	0	EDN1
0	1.67431302562099	0.76	0.091	0	0	EMCN
0	1.6610541956326	0.717	0.057	0	0	DIPK2B
0	1.64970513600253	0.813	0.117	0	0	CLEC14A
0	1.64396653993454	0.771	0.293	0	0	COL15A1
0	1.62961644225375	0.382	0.008	0	0	CCL23
0	1.61565029829299	0.694	0.092	0	0	ITGB4
0	1.6151276804596	0.735	0.155	0	0	CALCRL
0	1.59793388554005	0.935	0.146	0	0	RNASE1
0	1.57948656047062	0.701	0.08	0	0	MMRN2
0	1.5632260955713	0.754	0.091	0	0	CYYR1
0	1.548895700161	0.926	0.624	0	0	FKBP1A
0	1.54659417253553	0.728	0.186	0	0	MRTFB
0	1.53490816224601	0.622	0.063	0	0	ZNF385D
0	1.53319879409658	0.544	0.009	0	0	SELP
0	1.52703923907169	0.689	0.097	0	0	CLDN5
0	1.49370400499794	0.903	0.486	0	0	TGFBR2
0	1.49189927121767	0.745	0.192	0	0	ITGA6
0	1.49170070101367	0.654	0.086	0	0	ADCY4
0	1.48640502549021	0.725	0.114	0	0	CD93
0	1.47023115593255	0.487	0.041	0	0	ADM5
0	1.46785351165208	0.796	0.289	0	0	ADAM15
0	1.41871936237018	0.838	0.294	0	0	CD34
0	1.40726536588405	0.706	0.124	0	0	LMO2
0	1.39964035736237	0.692	0.104	0	0	GIMAP4
0	1.39461137839207	0.732	0.216	0	0	LMCD1
0	1.3937279457701	0.637	0.066	0	0	PTPRB
0	1.38436960330663	0.546	0.032	0	0	FAM110D
0	1.38406790367628	0.623	0.066	0	0	IL3RA
0	1.37842086065084	0.762	0.239	0	0	TNFSF10
0	1.37297034603393	0.65	0.14	0	0	PKP4
0	1.3605035802607	0.953	0.274	0	0	HLA-DRB1
0	1.35424674931094	0.818	0.386	0	0	PDLIM1
0	1.35292158457433	0.643	0.146	0	0	NRN1
0	1.35041419187065	0.684	0.198	0	0	HYAL2
0	1.34952853730786	0.683	0.102	0	0	S1PR1
0	1.33550292493611	0.523	0.077	0	0	MMP28
0	1.33526671351476	0.547	0.04	0	0	MEOX1
0	1.32729776525256	0.593	0.123	0	0	OLFM1
0	1.32671395178797	0.915	0.741	0	0	TXNIP
0	1.32140482412829	0.822	0.211	0	0	BCAM
0	1.31924654449115	0.81	0.34	0	0	PIM3
0	1.30556801309086	0.975	0.803	0	0	HLA-E
0	1.29779807929126	0.68	0.195	0	0	HEG1
0	1.28560147927784	0.621	0.146	0	0	VWA1
0	1.26635918499765	0.848	0.489	0	0	SNHG7
0	1.25127256878594	0.742	0.269	0	0	ETS2
0	1.24235244316841	0.668	0.092	0	0	CDH5
0	1.23684272167783	0.531	0.042	0	0	SPNS2
0	1.22782879532591	0.611	0.069	0	0	ERG
0	1.22360468717162	0.411	0.075	0	0	POSTN
0	1.2139697394565	0.685	0.185	0	0	PALMD
0	1.207637971257	0.548	0.055	0	0	CFI
0	1.20368459897477	0.585	0.065	0	0	ROBO4
0	1.19548520407628	0.765	0.193	0	0	ESAM
0	1.1877046174756	0.598	0.124	0	0	CMIP
0	1.18317514940546	0.691	0.311	0	0	BMPR2
0	1.17833971309317	0.574	0.115	0	0	SPHK1
0	1.17168864743393	0.642	0.19	0	0	FAM241A
0	1.16459430345836	0.682	0.256	0	0	ELK3
0	1.1605190978303	0.529	0.062	0	0	NOSTRIN
0	1.15550314570885	0.546	0.06	0	0	TMEM255B
0	1.1503785416207	0.628	0.278	0	0	NCOA7
0	1.14815666590929	0.938	0.581	0	0	CRIP2
0	1.14470242765937	0.561	0.102	0	0	PREX2
0	1.1374305975095	0.598	0.13	0	0	CAVIN2
0	1.13417147240423	0.491	0.084	0	0	GBP4
0	1.12691346962278	0.673	0.214	0	0	MGST2
0	1.12101369821511	0.524	0.06	0	0	GIMAP6
0	1.1179567451846	0.624	0.174	0	0	FLNB
0	1.11403189433348	0.704	0.301	0	0	PLSCR1
0	1.1082212366015	0.841	0.444	0	0	ACTN1
0	1.10657754054768	0.437	0.042	0	0	APLNR
0	1.10636881685116	0.504	0.055	0	0	PDE2A
0	1.10474265466007	0.713	0.164	0	0	HLA-DMA
0	1.1039078927713	0.543	0.071	0	0	SHANK3
0	1.1012992446156	0.796	0.461	0	0	KLF2
0	1.10103153064444	0.662	0.215	0	0	LDB2
0	1.09981462072825	0.531	0.061	0	0	MALL
0	1.09795607911939	0.549	0.135	0	0	PDIA5
0	1.09581383294508	0.544	0.129	0	0	LPCAT4
0	1.09521693118955	0.525	0.117	0	0	NUAK1
0	1.08739692606888	0.582	0.074	0	0	TIE1
0	1.08609614363216	0.534	0.111	0	0	EPHB4
0	1.07869290993873	0.596	0.114	0	0	FLI1
0	1.06541711102855	0.655	0.265	0	0	NECTIN2
0	1.04963469909721	0.677	0.291	0	0	PALM2-AKAP2
0	1.04956467266558	0.828	0.504	0	0	CCDC85B
0	1.04909995799182	0.714	0.281	0	0	CRIM1
0	1.04545994353405	0.455	0.029	0	0	DOC2B
0	1.0446475776161	0.621	0.195	0	0	LIMS2
0	1.04464728002349	0.825	0.339	0	0	EPAS1
0	1.03713529025567	0.553	0.132	0	0	SMAD1
0	1.03641137591314	0.542	0.112	0	0	RALGAPA2
0	1.03491066067115	0.597	0.177	0	0	ITGA5
0	1.03341115536119	0.803	0.464	0	0	RAB13
