cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32
ACKR1,CCL19,LUM,CCN3,APOD,FABP4,IL7R,PLA2G2A,MYH11,CCL5,CCL3,MT1A,GEM,FDCSP,COL1A1,KRT1,KRT7,GNLY,HLA-DPB1,TPSAB1,PRG4,CCL21,KRT6B,CENPF,TPSAB1,G0S2,SCGB2A2,RGS5,TYRP1,CLDN1,MFAP5,NRXN1,DSC3
CCL14,RGS5,COMP,MIA,CXCL14,CLDN5,IL32,IGF1,MUSTN1,CXCR4,CXCL3,C11orf96,EGR1,S100A1,MMP1,S100A7,SAA1,NKG7,HLA-DRA,MT-CO1,MFAP5,TFF3,CALML5,TYMS,TPSB2,CXCL8,SCGB1B2P,ADGRF5,KIT,THBS4,ABI3BP,GFRA3,CALML3
VWF,STEAP4,CCN5,RCAN1,PTGDS,SLC9A3R2,LTB,IGFBP4,ACTA2,GZMK,C1QA,RGS16,JUN,PMEL,POSTN,KRT16,AQP5,GZMB,HLA-DQA1,PMEL,PCOLCE2,MMRN1,MMP7,UBE2C,CTSG,S100A8,PIP,RBP7,MPZ,SCN7A,C3,SCN7A,COL17A1
SELE,TAGLN,FBLN1,PMEL,CFH,RBP7,CXCR4,CFD,TPM2,CCL4,IL1B,CCL2,CXCL14,CCN3,SFRP2,KRT14,SAA2,PRF1,HLA-DPA1,DCD,SFRP4,LYVE1,WFDC3,MKI67,HPGD,BCL2A1,MUCL1,NDUFA4L2,TFAP2A,SFRP5,EFEMP1,MPZ,LY6D
AQP1,FHL2,MMP2,MLANA,CXCL12,IGF2,CD52,THY1,TAGLN,DUSP2,C1QC,GADD45B,FOSB,MLANA,COL6A1,KRT5,KRT15,CCL4,HLA-DQB1,MT-CO2,C1QTNF3,PKHD1L1,KRT6A,PCLAF,CPA3,S100A9,SCGB1D2,CLDN5,MLANA,SBSPON,PLA2G2A,PCSK2,S100A14
PECAM1,SYNPO2,DCN,CAPN3,ABCA8,RAMP2,CD69,VCAN,MYL9,GZMA,IFI30,ADAMTS1,IER3,MIA,COL1A2,LGALS7,KRT19,CST7,HLA-DRB1,ACKR1,ACKR3,ECSCR,KRT14,HIST1H1B,TPSD1,FCGR3B,AZGP1,IGF2,PMEL,TNNC1,FBLN1,XKR4,LGALS7
PLVAP,NDUFA4L2,SFRP2,DCT,GSN,IFI27,CD3E,C3,ACTG2,NKG7,CXCL8,MT1M,CFD,CAPN3,COL3A1,KRT6A,SNORC,CCL5,CD74,SELE,SEMA3C,NTS,DSP,NUSAP1,ADCYAP1,CSF3R,KRT7,PECAM1,QPCT,FOXS1,VCAN,CDH19,SFN
RAMP3,TINAGL1,SFRP4,SERPINE2,CFD,PECAM1,BATF,SRPX,CNN1,CD8A,CCL4L2,CDKN1A,TNFAIP6,CCL18,TNC,KRT17,AKR1C1,FCGR3A,HLA-DRB5,CD74,PI16,PROX1,MUCL1,RRM2,CMA1,IL1B,KRT19,SLC9A3R2,DCT,SLC22A3,CXCL14,SEMA3B,KRT16
C2CD4B,LGI4,PRG4,S100A1,MGP,PODXL,PTPRC,FGF7,SORBS2,CD69,CXCL2,IL6,CCDC80,SERPINE2,COL12A1,KRT6C,LTF,GZMH,LYZ,C2CD4B,IGFBP6,STAB2,S100P,TOP2A,KIT,C5AR1,KRT18,H19,C4orf48,ANGPTL7,CFD,EGFL8,KRT5
TSPAN7,NOTCH3,CTSK,CCL18,DCN,TM4SF1,TSC22D3,CXCL12,RERGL,CST7,RNASE1,ACTA2,DCN,RCAN1,COL6A3,S100A9,KRT18,CTSW,FCER1A,JUNB,CD248,TBX1,LYPD3,TK1,HPGDS,TREM1,KRT8,MCAM,CCN3,ECRG4,SFRP2,PLP1,KRT6A
