"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",9.75596993491695e-223,2.49796351917522,0.961,0.186,2.54172284714391e-218,"0","GZMK"
"2",9.04105493113351e-172,2.97781695106607,0.882,0.208,2.35546604120821e-167,"0","CCL4"
"3",2.67206908031545e-162,3.13221945899428,0.618,0.075,6.96154157494584e-158,"0","CCL4L2"
"4",2.41318782810854e-127,1.70100598307526,0.972,0.357,6.28707824857117e-123,"0","CCL5"
"5",7.84240963389786e-123,2.09633399868908,0.562,0.091,2.04318298191941e-118,"0","CRTAM"
"6",4.37879320086162e-119,2.00015667331381,0.626,0.125,1.14080699262048e-114,"0","TNFSF9"
"7",2.09702857586804e-110,1.51854448559589,0.916,0.308,5.463388548709e-106,"0","NKG7"
"8",2.94167093010844e-99,1.56186559855625,0.972,0.649,7.66393527421152e-95,"0","DUSP2"
"9",1.81576129375948e-96,1.37238036685012,0.874,0.305,4.73060289863157e-92,"0","GZMA"
"10",2.33394288472138e-77,1.30743829036174,0.978,0.823,6.0806213975646e-73,"0","CD74"
"11",8.02106133090761e-76,1.23244963313206,0.93,0.534,2.08972710854136e-71,"0","CST7"
"12",2.56367444730438e-64,1.87681216431042,0.323,0.052,6.67914103756211e-60,"0","IFNG"
"13",1.01736468065612e-57,1.1000461491497,0.289,0.045,2.6505402025134e-53,"0","DTHD1"
"14",4.90304329432754e-57,1.19526258224573,0.624,0.236,1.27738986947115e-52,"0","SH2D1A"
"15",5.19673475673811e-54,1.15342598134338,0.601,0.217,1.35390530617298e-49,"0","HLA-DQA1"
"16",2.76144312792832e-53,1.35514424639143,0.834,0.536,7.19438778119165e-49,"0","NR4A2"
"17",1.14702938868832e-52,1.11532814946755,0.455,0.132,2.98835566634969e-48,"0","CMC1"
"18",7.80721639102324e-48,1.14797442857727,0.77,0.424,2.03401408635329e-43,"0","HLA-DRB1"
"19",2.44762138577892e-42,1.14049590496886,0.18,0.022,6.37678799636983e-38,"0","CCL3L1"
"20",3.65675558501703e-28,1.55073635658138,0.171,0.033,9.52694532564486e-24,"0","CCL3"
"21",2.17061736650442e-119,2.09294434749254,0.655,0.116,5.65510942495396e-115,"1","GZMB"
"22",1.96144523245726e-113,2.1222865067689,0.615,0.105,5.11015326412089e-109,"1","GZMH"
"23",2.02944582273122e-87,1.92750572785067,0.876,0.333,5.28731520196165e-83,"1","NKG7"
"24",1.99550782635283e-83,1.46123811295814,0.964,0.379,5.19889653999703e-79,"1","CCL5"
"25",1.55707887443233e-66,1.81776901219648,0.622,0.196,4.05665759155854e-62,"1","PRF1"
"26",7.90127572686897e-63,1.41227254069514,0.753,0.286,2.05851936512117e-58,"1","CD8A"
"27",1.00883187579364e-58,1.17806459986399,0.345,0.055,2.62830968600517e-54,"1","KLRD1"
"28",1.041424734827e-44,1.31824402336621,0.735,0.341,2.71322386164477e-40,"1","GZMA"
"29",1.17304966097532e-40,1.14538347554465,0.869,0.554,3.056146281739e-36,"1","CST7"
