p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
9.75596993491695e-223	2.49796351917522	0.961	0.186	2.54172284714391e-218	0	GZMK
9.04105493113351e-172	2.97781695106607	0.882	0.208	2.35546604120821e-167	0	CCL4
2.67206908031545e-162	3.13221945899428	0.618	0.075	6.96154157494584e-158	0	CCL4L2
2.41318782810854e-127	1.70100598307526	0.972	0.357	6.28707824857117e-123	0	CCL5
7.84240963389786e-123	2.09633399868908	0.562	0.091	2.04318298191941e-118	0	CRTAM
4.37879320086162e-119	2.00015667331381	0.626	0.125	1.14080699262048e-114	0	TNFSF9
2.09702857586804e-110	1.51854448559589	0.916	0.308	5.463388548709e-106	0	NKG7
2.94167093010844e-99	1.56186559855625	0.972	0.649	7.66393527421152e-95	0	DUSP2
1.81576129375948e-96	1.37238036685012	0.874	0.305	4.73060289863157e-92	0	GZMA
2.33394288472138e-77	1.30743829036174	0.978	0.823	6.0806213975646e-73	0	CD74
8.02106133090761e-76	1.23244963313206	0.93	0.534	2.08972710854136e-71	0	CST7
2.56367444730438e-64	1.87681216431042	0.323	0.052	6.67914103756211e-60	0	IFNG
4.51154357669161e-60	1.04316655639067	0.292	0.043	1.17539244803547e-55	0	ENC1
1.01736468065612e-57	1.1000461491497	0.289	0.045	2.6505402025134e-53	0	DTHD1
4.90304329432754e-57	1.19526258224573	0.624	0.236	1.27738986947115e-52	0	SH2D1A
4.91360972554411e-56	1.06937853039567	0.713	0.276	1.28014274179601e-51	0	CD8A
5.19673475673811e-54	1.15342598134338	0.601	0.217	1.35390530617298e-49	0	HLA-DQA1
2.66220237139936e-53	0.906653630961389	0.404	0.099	6.93583583820676e-49	0	KLRG1
2.76144312792832e-53	1.35514424639143	0.834	0.536	7.19438778119165e-49	0	NR4A2
1.14702938868832e-52	1.11532814946755	0.455	0.132	2.98835566634969e-48	0	CMC1
3.84389242245105e-52	0.551920161358112	0.986	0.982	1.00144929282117e-47	0	RPS27
7.80721639102324e-48	1.14797442857727	0.77	0.424	2.03401408635329e-43	0	HLA-DRB1
