p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.42910226436417	0.976	0.047	0	0	ACKR1
0	3.74064295930632	0.912	0.069	0	0	CCL14
0	3.55902498619094	0.96	0.101	0	0	VWF
0	3.38963508114128	0.471	0.024	0	0	SELE
0	2.87337933765849	0.97	0.315	0	0	AQP1
0	2.8123421126015	0.992	0.171	0	0	PECAM1
0	2.60902997935593	0.942	0.095	0	0	PLVAP
0	2.57744846908552	0.905	0.081	0	0	RAMP3
0	2.34307272511571	0.861	0.089	0	0	TSPAN7
0	2.29204930483928	0.415	0.048	0	0	C2CD4B
0	2.2371500177325	0.949	0.317	0	0	ENG
0	2.2278896659442	0.938	0.105	0	0	ECSCR
0	2.20815517222611	0.96	0.284	0	0	NPDC1
0	2.05832116757728	0.905	0.178	0	0	EGFL7
0	2.01979530071492	0.986	0.432	0	0	SPARCL1
0	1.96887000232678	0.924	0.39	0	0	CLU
0	1.91377796153593	0.65	0.03	0	0	MMRN1
0	1.90619967006181	0.956	0.435	0	0	HSPG2
0	1.88258472833234	0.848	0.095	0	0	ADGRL4
0	1.86574246103161	0.954	0.262	0	0	RAMP2
0	1.85757954984929	0.874	0.326	0	0	PRCP
0	1.85548447118924	0.586	0.039	0	0	SLCO2A1
0	1.84963517534272	0.675	0.269	0	0	ICAM1
0	1.84065756512661	0.758	0.22	0	0	ID1
0	1.83710601816178	0.983	0.354	0	0	IFI27
0	1.83422242951083	0.767	0.112	0	0	MCTP1
0	1.83257311329205	0.852	0.137	0	0	GIMAP7
0	1.83228045731484	0.923	0.224	0	0	TM4SF1
0	1.82139460293759	0.814	0.198	0	0	IL33
0	1.80359777730049	0.996	0.465	0	0	CD74
0	1.7607554191054	0.695	0.129	0	0	LIFR
0	1.749947392896	0.803	0.274	0	0	DUSP23
0	1.74734042694697	0.71	0.084	0	0	RASA4
0	1.74626628715549	0.807	0.104	0	0	SOX18
0	1.73214132861003	0.955	0.402	0	0	GNG11
0	1.69347972909252	0.514	0.061	0	0	EDN1
0	1.69166906669267	0.407	0.01	0	0	CCL23
0	1.68539129243522	0.791	0.095	0	0	EMCN
0	1.68303100979226	0.8	0.128	0	0	JAM2
0	1.65790232439552	0.745	0.061	0	0	DIPK2B
0	1.64346989716874	0.735	0.094	0	0	ITGB4
0	1.64324479126904	0.839	0.122	0	0	CLEC14A
0	1.627177743773	0.959	0.151	0	0	RNASE1
0	1.61154214453031	0.788	0.296	0	0	COL15A1
0	1.59965748441762	0.733	0.083	0	0	MMRN2
0	1.59497393784127	0.761	0.159	0	0	CALCRL
0	1.54377218490894	0.575	0.012	0	0	SELP
0	1.54360625577504	0.786	0.095	0	0	CYYR1
0	1.54234373496704	0.762	0.189	0	0	MRTFB
0	1.53104317820573	0.648	0.066	0	0	ZNF385D
0	1.51531355874288	0.942	0.623	0	0	FKBP1A
0	1.50436035051722	0.928	0.486	0	0	TGFBR2
0	1.50036504222425	0.51	0.043	0	0	ADM5
0	1.49846782459399	0.778	0.195	0	0	ITGA6
0	1.49685224265298	0.699	0.1	0	0	CLDN5
0	1.48840127825676	0.755	0.118	0	0	CD93
0	1.48346310822955	0.682	0.089	0	0	ADCY4
0	1.47058996108474	0.822	0.291	0	0	ADAM15
0	1.43826311947086	0.873	0.297	0	0	CD34
0	1.4268145723593	0.342	0.076	0	0	TNFRSF6B
0	1.41514930904461	0.725	0.106	0	0	GIMAP4
0	1.41071327319897	0.667	0.069	0	0	PTPRB
0	1.40174782527725	0.76	0.217	0	0	LMCD1
0	1.39972197592812	0.572	0.035	0	0	FAM110D
0	1.3897008785154	0.966	0.276	0	0	HLA-DRB1
0	1.38190076749941	0.682	0.142	0	0	PKP4
0	1.38131133673549	0.79	0.241	0	0	TNFSF10
0	1.38056954112627	0.728	0.129	0	0	LMO2
0	1.37704510285087	0.645	0.07	0	0	IL3RA
0	1.37260122032876	0.705	0.2	0	0	HYAL2
0	1.36969210553564	0.556	0.078	0	0	MMP28
0	1.36320565257947	0.94	0.741	0	0	TXNIP
0	1.35947597427212	0.624	0.124	0	0	OLFM1
0	1.35873094113115	0.672	0.148	0	0	NRN1
0	1.33824108800759	0.571	0.043	0	0	MEOX1
0	1.33645794929383	0.711	0.105	0	0	S1PR1
0	1.33593493560845	0.988	0.803	0	0	HLA-E
0	1.32725085850048	0.848	0.215	0	0	BCAM
0	1.32542502273593	0.831	0.341	0	0	PIM3
0	1.30549071023634	0.702	0.197	0	0	HEG1
0	1.30530960189006	0.832	0.388	0	0	PDLIM1
0	1.28369815701631	0.436	0.076	0	0	POSTN
0	1.27937710893481	0.564	0.044	0	0	SPNS2
0	1.27049198674939	0.869	0.49	0	0	SNHG7
0	1.26682630880721	0.64	0.148	0	0	VWA1
0	1.24970460592414	0.763	0.272	0	0	ETS2
0	1.22621033669991	0.696	0.095	0	0	CDH5
0	1.22243922402853	0.617	0.068	0	0	ROBO4
0	1.21986040475783	0.637	0.072	0	0	ERG
0	1.19959634463643	0.573	0.058	0	0	CFI
0	1.19639125149607	0.623	0.126	0	0	CMIP
0	1.18602335831748	0.715	0.312	0	0	BMPR2
0	1.18395567596671	0.793	0.196	0	0	ESAM
0	1.18038803353405	0.599	0.118	0	0	SPHK1
0	1.18016811538888	0.707	0.189	0	0	PALMD
0	1.17276476510057	0.713	0.258	0	0	ELK3
0	1.17218534624943	0.628	0.132	0	0	CAVIN2
0	1.1567802233914	0.646	0.279	0	0	NCOA7
0	1.15354721470675	0.819	0.462	0	0	KLF2
0	1.14711215855407	0.662	0.192	0	0	FAM241A
0	1.14214760239688	0.587	0.104	0	0	PREX2
0	1.13964016072092	0.547	0.064	0	0	NOSTRIN
0	1.13872529674334	0.732	0.302	0	0	PLSCR1
0	1.13774713530797	0.519	0.086	0	0	GBP4
0	1.13451623427301	0.745	0.166	0	0	HLA-DMA
0	1.12768048010905	0.562	0.063	0	0	TMEM255B
0	1.12714207104533	0.584	0.136	0	0	PDIA5
0	1.12462094034442	0.55	0.063	0	0	GIMAP6
0	1.12412415419019	0.866	0.444	0	0	ACTN1
0	1.12311977097365	0.653	0.175	0	0	FLNB
0	1.11942318591054	0.57	0.13	0	0	LPCAT4
0	1.11823903466827	0.951	0.58	0	0	CRIP2
0	1.11755178843213	0.529	0.058	0	0	PDE2A
0	1.10688643253751	0.699	0.216	0	0	MGST2
0	1.10439583010495	0.552	0.063	0	0	MALL
0	1.10293990918711	0.56	0.113	0	0	EPHB4
0	1.1023710963054	0.455	0.044	0	0	APLNR
0	1.1013230503295	0.614	0.076	0	0	TIE1
0	1.08473381071864	0.684	0.217	0	0	LDB2
0	1.08093305836833	0.563	0.074	0	0	SHANK3
0	1.07623448781649	0.545	0.119	0	0	NUAK1
0	1.06582980389615	0.627	0.117	0	0	FLI1
0	1.06397230625432	0.744	0.283	0	0	CRIM1
0	1.06218038736434	0.647	0.196	0	0	LIMS2
0	1.05069779580096	0.476	0.031	0	0	DOC2B
0	1.04179440097711	0.803	0.417	0	0	ID3
0	1.03833405913913	0.479	0.08	0	0	HAPLN3
0	1.03741848522518	0.563	0.114	0	0	RALGAPA2
0	1.03643861253967	0.701	0.292	0	0	PALM2-AKAP2
0	1.03353548921573	0.623	0.178	0	0	ITGA5
0	1.03214995696278	0.566	0.081	0	0	FLT1
0	1.02881022508538	0.67	0.267	0	0	NECTIN2
0	1.02528686275572	0.575	0.134	0	0	SMAD1
0	1.02400331584329	0.848	0.343	0	0	EPAS1
0	1.02377137198457	0.719	0.187	0	0	SNCG
0	1.02251458508092	0.847	0.504	0	0	CCDC85B
0	1.00961890149116	0.656	0.257	0	0	ARL4A
0	1.00753153534196	0.561	0.165	0	0	GASK1B
0	0.998265317485817	0.7	0.292	0	0	ECE1
0	0.997993299851455	0.264	0.031	0	0	RND1
0	0.995396035499238	0.718	0.325	0	0	BACE2
0	0.990489624683407	0.641	0.244	0	0	IL1R1
0	0.990194448132673	0.998	0.821	0	0	IFITM3
0	0.971256712944923	0.404	0.017	0	0	MYRIP
0	0.968792504758744	0.97	0.732	0	0	IFITM1
0	0.967723404933444	0.941	0.641	0	0	MYH9
0	0.966542737294589	0.534	0.09	0	0	GIMAP5
0	0.963134283170619	0.78	0.388	0	0	SYNE2
0	0.962442695040067	0.82	0.466	0	0	RAB13
0	0.96235625452902	0.862	0.527	0	0	LRRFIP1
0	0.960480759141785	0.962	0.721	0	0	SELENOW
0	0.960150053499332	0.501	0.054	0	0	MYCT1
0	0.95919560070258	0.542	0.082	0	0	GIMAP1
0	0.953880427291288	0.949	0.254	0	0	HLA-DRA
0	0.949744548915772	0.476	0.043	0	0	PCAT19
0	0.949587284719999	0.473	0.058	0	0	GIMAP8
0	0.946860928194971	0.734	0.277	0	0	ARHGAP29
0	0.945840407645633	0.411	0.017	0	0	LHX6
0	0.945356794439648	0.599	0.164	0	0	DOCK9
0	0.940973495901308	0.629	0.222	0	0	HDGFL3
0	0.940350928344477	0.439	0.065	0	0	FAM171A1
0	0.939335906280973	0.57	0.189	0	0	ENTPD1
0	0.933968241696464	0.538	0.183	0	0	CTNNAL1
0	0.932208131095791	0.727	0.173	0	0	HLA-DRB5
0	0.931517096985937	0.621	0.234	0	0	MTUS1
0	0.929685932493051	0.405	0.025	0	0	TACR1
0	0.926845816104259	0.957	0.675	0	0	TPM3
0	0.924727870376309	0.54	0.185	0	0	RAI14
0	0.923331202513127	0.677	0.253	0	0	ABLIM1
0	0.920095891724063	0.48	0.076	0	0	ICA1
0	0.920021691096341	0.805	0.458	0	0	RAB11A
0	0.914410960526739	0.645	0.25	0	0	TSHZ2
0	0.905809076901924	0.455	0.048	0	0	TMEM273
0	0.905306179695934	0.736	0.38	0	0	FOXP1
0	0.902967310246363	0.452	0.049	0	0	TEK
0	0.902566745710272	0.399	0.12	0	0	SCARB1
0	0.900781042165283	0.614	0.241	0	0	PLXND1
0	0.895442115178803	0.761	0.319	0	0	SYNGR2
0	0.893883309500129	0.634	0.296	0	0	SNTB2
0	0.892376679405314	0.878	0.471	0	0	TCF4
0	0.89106299762881	0.524	0.111	0	0	CCDC69
0	0.889038370690696	0.836	0.556	0	0	PCBP2
0	0.888326266510306	0.923	0.68	0	0	GNAI2
0	0.887032086364913	0.895	0.493	0	0	A2M
0	0.884403972803091	0.539	0.188	0	0	FZD4
0	0.883099471126294	0.757	0.423	0	0	VAMP5
0	0.881481971900034	0.536	0.113	0	0	RPS6KA2
0	0.881113568330748	0.642	0.265	0	0	PTPRM
0	0.880828293605956	0.969	0.592	0	0	ADIRF
0	0.873408881361426	0.571	0.217	0	0	EHD4
0	0.868352379714962	0.876	0.609	0	0	CDC37
0	0.867729960780809	0.577	0.18	0	0	SULF2
0	0.86673788529509	0.665	0.266	0	0	CDC42EP3
0	0.862122704807502	0.507	0.131	0	0	CPXM2
0	0.859885889940027	0.67	0.297	0	0	KCTD12
0	0.858699421336734	0.338	0.034	0	0	CSF2RB
