"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.42910226436417,0.976,0.047,0,"0","ACKR1"
"2",0,3.74064295930632,0.912,0.069,0,"0","CCL14"
"3",0,3.55902498619094,0.96,0.101,0,"0","VWF"
"4",0,3.38963508114128,0.471,0.024,0,"0","SELE"
"5",0,2.87337933765849,0.97,0.315,0,"0","AQP1"
"6",0,2.8123421126015,0.992,0.171,0,"0","PECAM1"
"7",0,2.60902997935593,0.942,0.095,0,"0","PLVAP"
"8",0,2.57744846908552,0.905,0.081,0,"0","RAMP3"
"9",0,2.34307272511571,0.861,0.089,0,"0","TSPAN7"
"10",0,2.29204930483928,0.415,0.048,0,"0","C2CD4B"
"11",0,2.2371500177325,0.949,0.317,0,"0","ENG"
"12",0,2.2278896659442,0.938,0.105,0,"0","ECSCR"
"13",0,2.20815517222611,0.96,0.284,0,"0","NPDC1"
"14",0,2.05832116757728,0.905,0.178,0,"0","EGFL7"
"15",0,2.01979530071492,0.986,0.432,0,"0","SPARCL1"
"16",0,1.96887000232678,0.924,0.39,0,"0","CLU"
"17",0,1.91377796153593,0.65,0.03,0,"0","MMRN1"
"18",0,1.90619967006181,0.956,0.435,0,"0","HSPG2"
"19",0,1.88258472833234,0.848,0.095,0,"0","ADGRL4"
"20",0,1.86574246103161,0.954,0.262,0,"0","RAMP2"
"21",0,2.8086565877084,0.94,0.451,0,"1","APOD"
"22",0,2.78782624939979,0.972,0.328,0,"1","CXCL14"
"23",0,2.31944966020792,0.945,0.363,0,"1","CFH"
"24",0,2.30644698076793,0.641,0.269,0,"1","PTGDS"
"25",0,2.20522791896079,0.978,0.375,0,"1","CFD"
"26",0,2.18147217106252,0.977,0.751,0,"1","GSN"
"27",0,2.12651196733757,0.909,0.389,0,"1","CXCL12"
"28",0,2.08847367184067,0.989,0.328,0,"1","DCN"
"29",0,2.0150758281473,0.722,0.171,0,"1","ABCA8"
"30",0,1.99355722258181,0.966,0.548,0,"1","MGP"
"31",0,1.96467718760031,0.403,0.092,0,"1","ADH1B"
"32",0,1.95677041703379,0.883,0.29,0,"1","MFAP4"
"33",0,1.86232125979303,0.92,0.355,0,"1","LRP1"
"34",0,1.81446871926417,0.927,0.376,0,"1","CCDC80"
"35",0,1.79423624401778,0.888,0.244,0,"1","EFEMP1"
"36",0,1.78337431499843,0.421,0.073,0,"1","MYOC"
"37",0,1.78266255504327,0.933,0.337,0,"1","C1S"
"38",0,1.75573881933941,0.714,0.179,0,"1","C3"
"39",0,1.71587186041044,0.857,0.372,0,"1","PLPP3"
"40",1.47356776536248e-263,2.00112443848595,0.659,0.354,3.83363389836704e-259,"1","APOE"
"41",0,3.35683361017168,0.428,0.023,0,"2","PRG4"
"42",0,3.10235197163204,0.99,0.35,0,"2","MMP2"
"43",0,3.06382354021987,0.94,0.197,0,"2","CCN5"
"44",0,3.02833877154735,0.84,0.096,0,"2","SFRP4"
"45",0,3.01519299661157,0.665,0.099,0,"2","COMP"
"46",0,2.99494763782875,0.994,0.262,0,"2","LUM"
"47",0,2.95351678152472,0.99,0.256,0,"2","FBLN1"
"48",0,2.9534881460871,0.964,0.183,0,"2","MFAP5"
"49",0,2.91941808464816,1,0.33,0,"2","DCN"
"50",0,2.82771629982296,0.948,0.258,0,"2","IGFBP6"
"51",0,2.8251652185241,0.923,0.437,0,"2","CLEC3B"
"52",0,2.79232877067316,0.951,0.319,0,"2","FBN1"
"53",0,2.68196031468768,0.989,0.401,0,"2","COL1A1"
"54",0,2.61927921169274,0.738,0.18,0,"2","SFRP2"
"55",0,2.6185424177234,0.999,0.42,0,"2","COL1A2"
"56",0,2.59380648592103,0.826,0.084,0,"2","PCOLCE2"
"57",0,2.5519291600332,0.776,0.119,0,"2","PI16"
"58",0,2.51931479415347,0.97,0.281,0,"2","TNXB"
"59",0,2.43036283747131,0.974,0.325,0,"2","CTSK"
"60",0,2.40559573858892,0.98,0.295,0,"2","FBLN2"
"61",0,3.46427095408087,0.264,0.04,0,"3","CCL19"
"62",0,3.35378429095169,0.688,0.129,0,"3","RGS5"
"63",0,2.85089373296482,0.826,0.144,0,"3","STEAP4"
"64",0,2.63724390825602,0.981,0.338,0,"3","TAGLN"
"65",0,2.47933754603391,0.787,0.128,0,"3","SYNPO2"
"66",0,2.449814811904,0.581,0.134,0,"3","NDUFA4L2"
"67",0,2.43674589991814,0.69,0.188,0,"3","FHL2"
"68",0,2.26664868631335,0.738,0.131,0,"3","LGI4"
"69",0,2.25787491340538,0.846,0.205,0,"3","TINAGL1"
"70",0,2.22784316423413,0.803,0.179,0,"3","NOTCH3"
"71",0,2.19058466042233,0.67,0.201,0,"3","IGFBP2"
"72",0,2.17471368031504,0.91,0.423,0,"3","NR2F2"
"73",0,2.05615677900379,0.872,0.206,0,"3","ACTA2"
"74",0,2.01330124429181,0.976,0.531,0,"3","MYL9"
"75",0,2.01014689160855,0.872,0.437,0,"3","EPS8"
"76",0,1.91594410223976,0.734,0.27,0,"3","ID4"
"77",0,1.91582990178786,0.977,0.668,0,"3","CALD1"
"78",0,1.8509213597739,0.709,0.372,0,"3","IGFBP5"
"79",0,1.85049224962959,0.474,0.097,0,"3","CD36"
"80",0,1.76394627834841,0.646,0.292,0,"3","MYO1B"
"81",0,3.20936183295719,0.988,0.158,0,"4","CCN3"
"82",0,3.13446759603391,0.951,0.074,0,"4","MIA"
"83",0,3.11917930720402,0.981,0.107,0,"4","PMEL"
"84",0,3.08782390605419,0.987,0.225,0,"4","RCAN1"
"85",0,3.01828375746723,0.982,0.067,0,"4","MLANA"
"86",0,2.97382640875831,0.987,0.069,0,"4","CAPN3"
"87",0,2.93466389473534,0.807,0.045,0,"4","DCT"
"88",0,2.82017030496385,0.98,0.152,0,"4","SERPINE2"
"89",0,2.7754771498782,0.929,0.114,0,"4","S100A1"
"90",0,2.74768766406702,0.915,0.061,0,"4","CCL18"
"91",0,2.61005487824679,0.803,0.059,0,"4","GDF15"
"92",0,2.60365083974419,0.988,0.157,0,"4","MFSD12"
"93",0,2.54657932270592,0.998,0.804,0,"4","GSTP1"
"94",0,2.46663085954766,0.996,0.347,0,"4","FBXO7"
"95",0,2.45167319976899,0.968,0.037,0,"4","TYR"
"96",0,2.43101048205614,0.917,0.072,0,"4","S100B"
"97",0,2.21046142212524,0.951,0.109,0,"4","FXYD3"
"98",0,2.17663380784158,0.871,0.028,0,"4","LHFPL3-AS1"
"99",0,2.07717247193761,0.995,0.373,0,"4","CCT8"
"100",0,2.07218428358556,0.923,0.102,0,"4","CHCHD6"
"101",0,3.39942278828029,0.533,0.145,0,"5","FABP4"
"102",0,3.22943342025165,0.828,0.103,0,"5","CLDN5"
"103",0,3.15924596328874,0.623,0.071,0,"5","RBP7"
"104",0,3.10248645669374,0.861,0.211,0,"5","SLC9A3R2"
"105",0,2.84935502203132,0.733,0.153,0,"5","IGF2"
"106",0,2.69408597560444,0.949,0.276,0,"5","RAMP2"
"107",0,2.64134086323124,0.974,0.367,0,"5","IFI27"
"108",0,2.61664666047245,0.972,0.187,0,"5","PECAM1"
"109",0,2.58734926897134,0.917,0.237,0,"5","TM4SF1"
"110",0,2.58204186866261,0.761,0.124,0,"5","PLVAP"
"111",0,2.57396427030213,0.963,0.412,0,"5","GNG11"
"112",0,2.57283827014599,0.771,0.069,0,"5","PODXL"
"113",0,2.51022855216226,0.877,0.133,0,"5","CLEC14A"
"114",0,2.46882054821962,0.846,0.115,0,"5","SOX18"
"115",0,2.33170557297792,0.522,0.012,0,"5","BTNL9"
"116",0,2.2392151955143,0.809,0.099,0,"5","CDH5"
"117",0,2.21480877653367,0.981,0.494,0,"5","A2M"
"118",0,2.18795140525674,0.873,0.201,0,"5","ESAM"
"119",0,2.18533399893213,0.879,0.194,0,"5","EGFL7"
"120",0,2.18388456680029,0.823,0.111,0,"5","ADGRL4"
"121",0,3.62852853109804,0.808,0.056,0,"6","IL7R"
"122",0,3.26745940815183,0.883,0.219,0,"6","IL32"
"123",0,3.17133971398885,0.691,0.037,0,"6","LTB"
"124",0,3.03084397898004,0.831,0.11,0,"6","CXCR4"
"125",0,2.68841356065808,0.798,0.089,0,"6","CD52"
"126",0,2.50871911045638,0.801,0.06,0,"6","CD3E"
"127",0,2.47945212705181,0.595,0.072,0,"6","CD69"
