"cluster0","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster20","cluster21","cluster22","cluster23","cluster24","cluster25","cluster26","cluster27","cluster28","cluster29","cluster30"
"ACKR1","APOD","PRG4","CCL19","CCN3","FABP4","IL7R","PLA2G2A","MYH11","CCL5","CCL3","MT1A","GEM","FDCSP","COL1A1","KRT1","KRT7","HLA-DPB1","GNLY","CCL21","TPSAB1","KRT6B","TPSAB1","CENPF","SCGB2A2","G0S2","MPZ","SELE","RGS5","CLDN1","DSC3"
"CCL14","CXCL14","MMP2","RGS5","MIA","CLDN5","IL32","IGF1","MUSTN1","CXCR4","C1QA","C11orf96","EGR1","SERPINE2","POSTN","S100A7","SAA1","HLA-DRA","NKG7","TFF3","PMEL","CALML5","TPSB2","TYMS","SCGB1B2P","CXCL8","CDH19","ACKR1","RBP7","THBS4","CALML3"
"VWF","CFH","CCN5","STEAP4","PMEL","RBP7","LTB","IGFBP4","ACTA2","GZMK","CXCL3","RGS16","JUN","S100A1","COL6A1","KRT16","AQP5","HLA-DQA1","GZMB","MMRN1","TPSB2","MMP7","CTSG","UBE2C","PIP","S100A8","GFRA3","C2CD4B","ADGRF5","SFRP5","COL17A1"
"SELE","PTGDS","SFRP4","TAGLN","RCAN1","SLC9A3R2","CXCR4","CFD","TPM2","CCL4","C1QC","GADD45B","CXCL14","PMEL","SFRP2","KRT14","SAA2","HLA-DPA1","PRF1","LYVE1","SAA1","KRT6A","HPGD","MKI67","MUCL1","BCL2A1","TYRP1","TNFRSF6B","NDUFA4L2","SCN7A","LY6D"
"AQP1","CFD","COMP","SYNPO2","MLANA","IGF2","CD52","THY1","TAGLN","DUSP2","IL1B","CCL2","FOSB","CCN3","COL1A2","KRT5","SNORC","HLA-DQB1","CCL4","PKHD1L1","SELE","WFDC3","CPA3","PCLAF","SCGB1D2","FCGR3B","PLP1","PLVAP","CLDN5","SBSPON","S100A14"
"PECAM1","GSN","LUM","NDUFA4L2","CAPN3","RAMP2","CD3E","VCAN","MYL9","GZMA","IFI30","ADAMTS1","IER3","MLANA","COL3A1","LGALS7","AKR1C1","HLA-DRB1","CST7","NTS","ACKR1","KRT14","TPSD1","TK1","AZGP1","S100A9","GPM6B","RAMP3","IGF2","TNNC1","LGALS7"
"PLVAP","CXCL12","FBLN1","FHL2","DCT","IFI27","CD69","SRPX","ACTG2","NKG7","CXCL8","MT1M","CFD","CAPN3","TNC","KRT6A","KRT15","CD74","CCL5","PROX1","MT-CO1","DSP","ADCYAP1","NUSAP1","KRT7","IL1B","KIT","TSPAN7","PECAM1","FOXS1","SFN"
"RAMP3","DCN","MFAP5","LGI4","SERPINE2","PECAM1","PTPRC","FGF7","CNN1","CD8A","CCL4L2","CDKN1A","TNFAIP6","MIA","COL12A1","KRT17","KRT19","LYZ","FCGR3A","ECSCR","C2CD4B","MUCL1","CMA1","TOP2A","KRT19","CSF3R","S100B","RAMP2","SLC9A3R2","SLC22A3","KRT16"
"TSPAN7","ABCA8","DCN","TINAGL1","S100A1","TM4SF1","BATF","C3","RERGL","CD69","CXCL2","IL6","CCDC80","CCL18","COL6A3","S100A9","KRT18","HLA-DRB5","GZMH","CLDN5","MT-CO2","S100P","KIT","PTTG1","KRT18","C5AR1","SEMA3B","TM4SF1","MCAM","ANGPTL7","KRT5"
"C2CD4B","MGP","IGFBP6","NOTCH3","CCL18","PLVAP","TSC22D3","EFEMP1","SORBS2","CST7","RNASE1","ACTA2","DCN","RCAN1","COMP","KRT6C","LTF","FCER1A","CTSW","LMO2","CCL2","LYPD3","HPGDS","STMN1","KRT8","TREM1","QPCT","HLA-DRB5","H19","ECRG4","KRT17"
"ENG","ADH1B","CLEC3B","IGFBP2","GDF15","GNG11","EZR","CXCL12","PLN","PTPRC","C1QB","NR4A1","GSN","GDF15","DIO2","S100A8","PPP1R1B","IL1B","KLRD1","EGFL7","TM4SF1","CD24","MS4A2","CKS1B","SPINT2","FPR1","PMEL","NPDC1","RAMP2","OGN","KRT6A"
"ECSCR","MFAP4","FBN1","NR2F2","MFSD12","PODXL","PTPRCAP","SVEP1","DES","CTSW","CCL3L1","MUSTN1","FBLN1","GSTP1","BGN","S100A2","GAPDH","CD83","GZMA","RAMP2","IER3","C19orf33","SLC18A2","TUBA1B","CEACAM6","MNDA","DCT","PLA2G2A","IGFBP2","NGFR","S100A2"
