"cluster0","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9","cluster10","cluster11","cluster12","cluster13"
"GZMK","GZMB","CD40LG","CCR7","FOXP3","CCL20","TRAV1-2","CCR6","FOXP3","CCL5","FCER1G","CCND1","ZNF683","IGHG1"
"CCL4","GZMH","TXNIP","SESN3","CTLA4","CXCR6","TRBV4-2","ANKRD28","LAIR2","GZMK","XCL1","APOE","LINC02446","IGHG3"
"CCL4L2","NKG7","FOS","S1PR1","TIGIT","IL17F","NCR3","IL7R","CTLA4","GZMA","TYROBP","TIMP3","TRBV2","JCHAIN"
"CCL5","CCL5","HSPA1B","SELL","IL2RA","CCR6","KLRB1","VIM","LAYN","NKG7","XCL2","S100A13","CD8B","MZB1"
"CRTAM","PRF1","C1orf162","FTH1","IL32","GNA15","TRAV6","LMNA","IL2RA","EOMES","KLRD1","CCN3","RCBTB2","IGHG2"
"TNFSF9","CD8A","CD69","EZR","TNFRSF4","TRDV1","TMIGD2","ANXA1","TNFRSF18","CD8A","AREG","PTGDS","FXYD2","IGKC"
"NKG7","KLRD1","KLF6","LEF1","BATF","RORA","CEBPD","PTGER4","TNFRSF4","CD74","GNLY","MLANA","KLRC4","IGLC3"
"DUSP2","GZMA","ARHGAP15","KLF3","CARD16","KLRB1","CTSH","AHR","CARD16","CST7","HOPX","S100A1","KLRK1","IGLC2"
"GZMA","CST7","PTPN13","KLF2","TNFRSF18","CCDC107","TRGV9","FKBP5","BATF","GIMAP7","MAP3K8","APOD","TRAV38-2DV8","IGHV3-30"
"CD74","GNLY","MAL","CD55","MIR4435-2HG","IL17A","IL4I1","RORA","TNFRSF9","KLRG1","CTSW","SELENOM","TXNIP","IGHV1-69D"
"CST7","CTSW","CLU","SARAF","GK","TRBV9","LTB","KLF6","TIGIT","GZMM","NFKBID","RCAN1","NCR3","IGKV1-9"
"IFNG","LINC02446","FLT3LG","PABPC1","CD27","PDE4D","CTSW","CDKN1A","TBC1D4","HLA-DRB1","MAFF","AEBP1","STOM","IGLV1-44"
"DTHD1","LAG3","SLC9A9","IL7R","TTN","LMO4","PTMS","TOB1","CXCR6","CD8B","GRASP","PMEL","LPAR6","IGHV3-33"
"SH2D1A","KLRK1","HSPA1A","PASK","IKZF2","ANKRD28","CCL20","IL22","ICOS","GZMH","CSF2","CST3","CAPG","IGLV1-40"
"HLA-DQA1","CD7","CD4","ICAM2","TBC1D4","LMNA","GPR65","ITK","CD27","AOAH","NFKB1","CAV1","ARHGAP15","IGKV1-12"
"NR4A2","LITAF","LPAR6","LDHB","PMAIP1","CDKN1A","LAG3","CRYBG1","DUSP4","LINC00861","REL","SPARC","CLU","IGHV4-34"
"CMC1","METRNL","DUSP1","SLC2A3","ICOS","PLIN2","TRBV6-2","PPP1R15A","CTSC","GIMAP4","NR4A1","ZRANB2","SLF1","IGKV3-20"
"HLA-DRB1","CXCL13","CISH","CRYBG1","STAM","ATP1B3","MT2A","CCR7","DNPH1","TRBV2","BCL2A1","COL1A1","TRBV3-1","IGHV3-23"
"CCL3L1","GZMK","TNF","ANXA1","UGP2","AHR","CXCL13","HSPA1B","SYNGR2","GIMAP5","GZMB","IFITM3","FOS","IGLV3-9"
"CCL3","HLA-DRA","JUN","ATP1B3","HPGD","TRAV12-2","GZMB","HSPA1A","TRAV12-3","APOD","CD83","CRIP2","HSPA1A","IGHV1-18"
