	log2FoldChange	fdr
KRT15	-7.58386490095526	0
PPP1R1B	-7.36469638049309	0
AQP5	-7.35338106726526	0
ADH1B	-7.25951414380104	9.63315466496359E-08
AKR1C1	-7.00373555397005	0
SCN7A	-6.91928523217073	0
PPP1R1A	-6.84042981145949	1.92857594605063E-05
ANK3	-6.75701380327186	1.77122467636189E-14
XKR4	-6.65009859935535	2.94813760181227E-13
GPD1	-6.65009859935535	0.000532268536133
AKR1C2	-6.55452093937312	1.03050650719461E-12
NRXN1	-6.52120086617309	0
ABCA8	-6.34197630399302	4.61815397441714E-10
CADM3	-6.29543371805599	4.97112854659102E-08
MGST1	-6.23916549840924	8.02342096242998E-05
SBSPON	-6.19758639465784	5.29638545926463E-08
ADGRB3	-6.1720513025507	1.68413407491586E-09
STAC2	-5.97940622460831	5.95024338823414E-08
CA2	-5.94965888121425	5.89708639577737E-09
FABP4	-5.92108972901749	8.0364763655613E-08
GFRA3	-5.91928523217073	6.6460111750216E-14
LPAR1	-5.75701380327186	1.84868040686969E-06
SNORC	-5.72224838511118	0
COL28A1	-5.71047121733483	5.89708639577737E-09
EHF	-5.68662447538046	2.03725220917188E-07
MFAP5	-5.68662447538046	1.89274848967795E-06
PLSCR4	-5.61262389393669	6.39831678500139E-07
C2orf88	-5.57414974612205	3.74177449588056E-12
AC027117.2	-5.53462138193541	0.004826978803074
TSTD1	-5.53462138193541	1.16292796288298E-12
ABI3BP	-5.53462138193541	1.78384884111554E-05
RAPGEF5	-5.49397939743806	1.80437648359834E-05
SCGB2A2	-5.49195076568939	3.89715851062117E-06
ABLIM1	-5.45215922174343	5.99546621482782E-06
COL8A1	-5.40909049985155	1.83934640839713E-05
KCNMB4	-5.34197630399301	1.50065745544278E-09
PADI2	-5.31889269087997	0.000152780406826
KRT7	-5.27158697610162	0
GFRA2	-5.27158697610162	0.000154812293618
SLC22A17	-5.24733942985494	1.48432311155359E-08
RELN	-5.22267737562067	1.51310181975731E-08
KRT8	-5.19758639465784	0
MIR100HG	-5.1720513025507	0.000456643007679
EFS	-5.1720513025507	5.39360623579225E-05
TUBA4A	-5.1720513025507	5.39360623579225E-05
TC2N	-5.11958388265656	0.000460343529066
DPYD	-5.11958388265656	0.000460343529066
TNXB	-5.11958388265656	0.000460343529066
TLE2	-5.11958388265656	0.001248175714497
SFRP5	-5.11958388265656	0.347479648061336
TPD52L1	-5.01378921863397	0
DOK6	-5.00855257026782	0.001286608355389
TSPAN11	-4.9794062246083	1.37810394461937E-06
CITED4	-4.96460922268023	3.53954570571335E-13
TESC	-4.96163152288033	0
HIVEP3	-4.94965888121425	0.000468872064103
PKDCC	-4.94965888121425	0.001299215838705
PPP2R2B	-4.91928523217074	3.97381153254807E-06
CD36	-4.88825833655011	0.00241029092596
RGMA	-4.88825833655011	0.003508652769968
CBR3-AS1	-4.82412799913039	0.001311811800792
ATP1A2	-4.77973387977194	1.55880879846244E-05
KRT19	-4.76158653306168	0
PAM	-4.75701380327186	0.003571086546111
SH3BGRL2	-4.75701380327186	0.003571086546111
FZD1	-4.75701380327186	0.009302309531448
MXRA8	-4.75701380327186	1.56229773643482E-12
SCARA3	-4.75701380327186	1.77064038205018E-07
RARRES2	-4.70256601924948	0
KIAA1522	-4.68662447538046	0.00357911155974
TCEA3	-4.68662447538046	0.009436221191898
DCD	-4.66772644178783	0
HOMER2	-4.65009859935535	4.65474888910168E-06
NRN1	-4.631482921188	4.59196522911417E-10
KRT18	-4.62939960668751	0
LNP1	-4.61262389393668	0.009515154483692
SPTSSB	-4.61262389393668	0.009515154483692
ZNF667-AS1	-4.61262389393668	0.023802914830932
LINC00632	-4.57414974612204	2.90347805278479E-08
SCGB1D2	-4.56725238617537	5.57816286802923E-05
DSP	-4.53462138193541	3.89123559617455E-05
ABCA6	-4.53462138193541	0.009527775543229
GSTM1	-4.53462138193541	0.009527775543229
RASGEF1C	-4.53462138193541	0.009527775543229
IGFBP6	-4.52120086617309	6.15062210476282E-07
CALML5	-4.49397939743806	0.000281602712195
TCEAL7	-4.45215922174343	0.024380684049523
MICU3	-4.45215922174343	0.024380684049523
TSPAN5	-4.45215922174343	0.024380684049523
ST6GALNAC5	-4.45215922174343	0.024380684049523
LINC00472	-4.45215922174343	0.057207683563933
SYNJ2	-4.3646963804931	0.024446645841596
CECR2	-4.3646963804931	0.024446645841596
GAL3ST1	-4.3646963804931	0.024446645841596
CD24	-4.3646963804931	1.95887429134599E-09
SMIM5	-4.3646963804931	1.76669935554319E-05
CACNA2D1	-4.3646963804931	0.058327654111664
LINC01197	-4.3646963804931	0.058327654111664
EBF1	-4.3646963804931	0.12977795166173
CEACAM6	-4.3646963804931	0.12977795166173
C10orf82	-4.3646963804931	0.12977795166173
SPINT1-AS1	-4.31889269087997	0.000310319317283
RCN3	-4.30329583582895	0.001094660342368
FHL1	-4.29361328243161	4.17190419810913E-07
PTN	-4.28526191299869	9.7777546616725E-07
PBX1	-4.27158697610162	0.058738574649636
AC007009.1	-4.27158697610162	0.058738574649636
RNF152	-4.27158697610162	0.058738574649636
RGS9	-4.27158697610162	0.058738574649636
VPS13B-DT	-4.27158697610162	0.058738574649636
EGFR	-4.27158697610162	0.134148352179938
PLLP	-4.26086056950856	5.24445329398841E-08
IL11RA	-4.22267737562067	0.00084971152422
CCND2	-4.22267737562067	0.002150528460945
DGAT2	-4.22267737562067	0.010959159255383
PIP	-4.19719695072488	0.000247419223093
ITPR1	-4.1720513025507	8.06821117412302E-06
PI16	-4.1720513025507	0.045249750081246
PDE9A	-4.1720513025507	0.000855726045276
GVQW3	-4.1720513025507	0.058828535838824
NXPH4	-4.1720513025507	0.058828535838824
TLN2	-4.1720513025507	0.058828535838824
MIR3936HG	-4.1720513025507	0.058828535838824
KITLG	-4.1720513025507	0.058828535838824
SULT1A1	-4.1720513025507	0.058828535838824
LINC02762	-4.1720513025507	0.058828535838824
WNK2	-4.1720513025507	0.137785853226726
RDH5	-4.1720513025507	0.273559886490641
NDRG2	-4.15019186858696	0
NTRK2	-4.11958388265656	0.005432094496394
IFT27	-4.06513609863419	0.002298192356399
FGF7	-4.06513609863419	0.048929531516348
TTYH1	-4.06513609863419	5.04321994117642E-07
HDAC9	-4.06513609863419	0.139645545915648
HOXC-AS1	-4.06513609863419	0.139645545915648
SMOC2	-4.06513609863419	0.139645545915648
PIGZ	-4.06513609863419	0.139645545915648
CPED1	-4.06513609863419	0.139645545915648
ATP2A3	-4.06513609863419	0.285152224227541
LINC01088	-4.06513609863419	0.285152224227541
SFRP1	-4.05119690767632	2.66872952308412E-12
MPST	-4.03712172246459	6.10411920561898E-08
CRACR2B	-4.00855257026782	0.002324343185021
COL14A1	-3.99941191641135	9.44019248736906E-11
ANGPTL2	-3.94965888121425	0.002326241708206
DEPTOR	-3.94965888121425	0.002326241708206
LIPE	-3.94965888121425	0.006971881530426
RGS11	-3.94965888121425	0.139645545915648
SLC34A2	-3.94965888121425	0.139645545915648
ATP8A1	-3.94965888121425	0.139645545915648
AC090152.1	-3.94965888121425	0.139645545915648
PLCE1	-3.94965888121425	0.139645545915648
F10	-3.94965888121425	0.139645545915648
SOX15	-3.94965888121425	0.139645545915648
MMP28	-3.94965888121425	0.139645545915648
GDNF	-3.94965888121425	0.139645545915648
GOLGA8B	-3.94965888121425	0.139645545915648
CSF1	-3.94965888121425	0.139645545915648
PROSER2	-3.94965888121425	0.139645545915648
LY75	-3.94965888121425	0.139645545915648
LRRC1	-3.94965888121425	0.139645545915648
ANO1	-3.94965888121425	0.139645545915648
ABCA3	-3.94965888121425	0.139645545915648
PALM	-3.94965888121425	0.139645545915648
ENPP1	-3.94965888121425	0.295301661808856
PCOLCE2	-3.94965888121425	0.295301661808856
ATOH8	-3.94965888121425	0.295301661808856
FCER1A	-3.94965888121425	0.295301661808856
ADAMTS7	-3.94965888121425	0.295301661808856
PALMD	-3.92541133496757	2.90347805278479E-08
IQGAP2	-3.92269183361398	5.4195604467117E-07
CLDN10	-3.90901689671691	0.002268831829051
FBLN2	-3.88825833655011	4.55680824734862E-07
CCL19	-3.88825833655011	0.78508586916758
FGL2	-3.86719672102228	4.9889687708023E-08
ALDH2	-3.86219603996391	3.55591646207094E-08
FABP7	-3.85654947682277	6.33561764478306E-05
OGFRL1	-3.82412799913039	1.50921149481877E-06
ANG	-3.82412799913039	0.001119090818643
LRRC26	-3.82412799913039	0.002561788950646
CDH6	-3.82412799913039	0.005929077675787
SMCO4	-3.82412799913039	0.014352435549142
CAVIN2	-3.82412799913039	0.014352435549142
COL21A1	-3.82412799913039	0.032657036502797
RHPN2	-3.82412799913039	0.032657036502797
ZNF436	-3.82412799913039	0.301423083348959
ARHGEF17	-3.82412799913039	0.301423083348959
TMEM213	-3.82412799913039	0.301423083348959
DHCR24	-3.82412799913039	0.301423083348959
SERTAD4	-3.82412799913039	0.301423083348959
PTX3	-3.82412799913039	0.301423083348959
CLDN11	-3.82412799913039	0.301423083348959
CDO1	-3.82412799913039	0.301423083348959
CLIC6	-3.82412799913039	0.301423083348959
ESPN	-3.82412799913039	0.542100392489761
GOLGA8A	-3.82412799913039	0.542100392489761
IL1RL1	-3.82412799913039	0.542100392489761
AATK	-3.7976557877692	4.2179821939109E-06
DKK3	-3.79096113519519	3.89946653500158E-08
TMEM176A	-3.78616014893137	7.02348696091093E-08
MEG3	-3.77973387977194	0.019064128511502
CRLF1	-3.77973387977194	0.001149224953337
FIBIN	-3.77973387977194	0.054897603855506
MUCL1	-3.7654798960917	3.28753519560632E-07
G0S2	-3.75701380327186	8.63204376991987E-08
C19orf33	-3.75701380327186	0.20266929559035
ASS1	-3.73393019015881	0.012505999151465
SCN9A	-3.73393019015881	0.000471459445285
ADIRF	-3.71140204841485	0
FMNL2	-3.68662447538046	0.000472092206159
CNRIP1	-3.68662447538046	0.000472092206159
NEGR1	-3.68662447538046	0.002887995987283
FBLN1	-3.68662447538046	0.006477442892977
GHR	-3.68662447538046	0.014610711566054
CLDN7	-3.68662447538046	0.071716863483221
LAD1	-3.68662447538046	0.301647259440457
PPP1R1C	-3.68662447538046	0.301647259440457
AP000873.2	-3.68662447538046	0.301647259440457
SYTL4	-3.68662447538046	0.301647259440457
SPDEF	-3.68662447538046	0.301647259440457
GLYATL2	-3.68662447538046	0.301647259440457
AC007906.2	-3.68662447538046	0.301647259440457
KRTCAP3	-3.68662447538046	0.301647259440457
WDFY3-AS2	-3.68662447538046	0.301647259440457
PTGES	-3.68662447538046	0.301647259440457
TRIM29	-3.68662447538046	0.301647259440457
C1orf115	-3.68662447538046	0.301647259440457
KCNH8	-3.68662447538046	0.301647259440457
MDGA1	-3.68662447538046	0.301647259440457
FA2H	-3.68662447538046	0.301647259440457
ARHGAP28	-3.68662447538046	0.301647259440457
FNDC4	-3.68662447538046	0.301647259440457
ABHD3	-3.68662447538046	0.301647259440457
NMNAT3	-3.68662447538046	0.301647259440457
C14orf28	-3.68662447538046	0.301647259440457
MARC2	-3.68662447538046	0.301647259440457
FAM221A	-3.68662447538046	0.301647259440457
KRT9	-3.68662447538046	0.301647259440457
PDZD4	-3.68662447538046	0.301647259440457
ABCC9	-3.68662447538046	0.564114777654651
MARC1	-3.68662447538046	0.564114777654651
TMEM176B	-3.63059044046613	8.37537485519026E-10
GUCY1A1	-3.61262389393668	0.035167366960858
NKAIN3	-3.61262389393668	0.07494875211868
C5orf46	-3.58708880182954	0.573204602277674
CYBRD1	-3.53462138193541	2.23620571735667E-06
CALB2	-3.53462138193541	0.000552256448482
PLCB1	-3.53462138193541	0.003067441028691
PPP1R3C	-3.53462138193541	0.035379396698468
PKIA	-3.53462138193541	0.574218781080797
ARHGAP19	-3.53462138193541	0.574218781080797
RBP1	-3.53462138193541	0.574218781080797
AL390198.1	-3.53462138193541	0.574218781080797
P2RY1	-3.53462138193541	0.574218781080797
S1PR3	-3.53462138193541	0.574218781080797
AP002748.4	-3.53462138193541	0.574218781080797
GPR65	-3.53462138193541	0.877513007825865
ZG16B	-3.53462138193541	0.877513007825865
VAMP8	-3.52223765747958	5.07431934309082E-14
SAA2	-3.48807879599838	0.000322076208205
CFH	-3.48668690487171	3.94845422082297E-06
SC5D	-3.48017359791303	0.003078298975788
GPAM	-3.46903304030783	0.005666661026279
PKIB	-3.45215922174344	0.078319574382019
ELF3	-3.45215922174344	0.154702855360618
LRP3	-3.45215922174344	0.154702855360618
PAQR6	-3.45215922174344	0.154702855360618
ENTPD2	-3.43508570838449	0.000233332332465
CXCL14	-3.43418148081438	0
SLIT3	-3.42359006954666	0.017012337325515
MRGPRF	-3.42359006954666	0.064461605475677
EIF4E3	-3.40909049985155	0.001408369417186
PART1	-3.40909049985155	0.003204847655311
PRDX2	-3.40317052830773	0
HTRA1	-3.38854312244746	9.93374395885322E-07
OCIAD2	-3.3646963804931	0.000249979239381
ACKR3	-3.3646963804931	0.00334129971506
AKTIP	-3.3646963804931	0.007502942354308
PDE5A	-3.3646963804931	0.017405192594949
PHYHD1	-3.3646963804931	0.017405192594949
POGLUT3	-3.3646963804931	0.078819314470525
EIF1AY	-3.3646963804931	0.160696070431669
PLA2R1	-3.3646963804931	0.160696070431669
BSPRY	-3.3646963804931	0.160696070431669
AC139530.1	-3.3646963804931	0.574218781080797
LINC01268	-3.3646963804931	0.574218781080797
RASA4B	-3.3646963804931	0.574218781080797
NUDT17	-3.3646963804931	0.574218781080797
TMEM139	-3.3646963804931	0.574218781080797
BAIAP2L1	-3.3646963804931	0.574218781080797
CCDC191	-3.3646963804931	0.574218781080797
MTRF1	-3.3646963804931	0.574218781080797
EPCAM	-3.3646963804931	0.574218781080797
IRX2	-3.3646963804931	0.574218781080797
SLC12A6	-3.3646963804931	0.574218781080797
DAPK2	-3.3646963804931	0.574218781080797
RRAS2	-3.3646963804931	0.574218781080797
TNS4	-3.3646963804931	0.574218781080797
TMEM100	-3.3646963804931	0.574218781080797
HEG1	-3.3646963804931	0.574218781080797
AC009126.1	-3.3646963804931	0.574218781080797
ARHGEF5	-3.3646963804931	0.574218781080797
IRF6	-3.3646963804931	0.574218781080797
RSPO3	-3.3646963804931	0.574218781080797
CLSTN2	-3.3646963804931	0.574218781080797
EPB41L1	-3.3646963804931	0.574218781080797
PDGFRA	-3.3646963804931	0.574218781080797
LURAP1	-3.3646963804931	0.574218781080797
STEAP1	-3.3646963804931	0.574218781080797
PLAGL1	-3.3646963804931	0.574218781080797
ESRRG	-3.3646963804931	0.574218781080797
NEK11	-3.3646963804931	0.574218781080797
TRABD2B	-3.3646963804931	0.574218781080797
ROM1	-3.3646963804931	0.574218781080797
ZNF44	-3.3646963804931	0.574218781080797
STOX2	-3.3646963804931	0.574218781080797
ATP9A	-3.3646963804931	0.574218781080797
ZNF563	-3.3646963804931	0.574218781080797
PRDM16	-3.3646963804931	0.574218781080797
GABRE	-3.3646963804931	0.574218781080797
ZNF438	-3.3646963804931	0.574218781080797
C1QTNF4	-3.3646963804931	0.933107417054425
FGF13	-3.3646963804931	0.933107417054425
DPP4	-3.3646963804931	0.933107417054425
ARHGEF38	-3.3646963804931	0.933107417054425
PRRG2	-3.3646963804931	1
IZUMO4	-3.3646963804931	1
NTM	-3.34332272970053	9.44686392591321E-07
PLA2G2A	-3.3426700741631	8.66606841676116E-06
CRYAB	-3.33612722829633	0
CMTM5	-3.3315295165579	0.000101421312325
COX7A1	-3.3224681451038	4.73232412161127E-12
ADAMTS9-AS2	-3.31889269087997	0.003448808462487
SOX9-AS1	-3.30329583582895	1.76669935554319E-05
GFRA1	-3.30329583582895	0.038495259651122
COBL	-3.30329583582895	0.038495259651122
PLCB4	-3.30329583582895	0.038495259651122
GPC4	-3.30329583582895	0.038495259651122
PPIC	-3.30329583582895	0.038495259651122
CFD	-3.29903695438664	0
LDOC1	-3.27158697610162	0.164604982888171
A4GALT	-3.27158697610162	0.311329858164788
PDK4	-3.23916549840924	0.001546058897934
FBXO2	-3.22267737562067	0.008027152651375
PTPRF	-3.22267737562067	0.016861968037517
SOD3	-3.21269328704805	1.066494365552E-05
ARHGEF26	-3.20599863447403	0.000583370790351
TNFAIP6	-3.19477137905079	0.012404882920101
EFNB1	-3.1720513025507	0.040179096566932
ALG9	-3.1720513025507	0.040179096566932
NT5E	-3.1720513025507	0.166158762758269
LYRM1	-3.1720513025507	0.166158762758269
FAM81A	-3.1720513025507	0.322019832876723
SETBP1	-3.1720513025507	0.940514452116625
IL18	-3.1720513025507	0.940514452116625
ANKRD6	-3.1720513025507	0.940514452116625
ATF7IP2	-3.1720513025507	0.940514452116625
ZNF485	-3.1720513025507	0.940514452116625
ZNF117	-3.1720513025507	0.940514452116625
DIO3OS	-3.1720513025507	0.940514452116625
BEND5	-3.1720513025507	0.940514452116625
PCDH17	-3.1720513025507	0.940514452116625
ZNF844	-3.1720513025507	0.940514452116625
