	log2FoldChange	fdr
TRBV13	-4.76489037529782	0.000280390267518
EFEMP1	-4.25609955506207	0.004600208260158
ABI3BP	-4.22695320940255	0.010534866906861
KRT15	-4.07167498392464	0.250770573557716
C3	-3.93417146017471	0.025365294281798
PDZD2	-3.8976455841496	0.02540870775036
KRT1	-3.8216967309163	2.68E-07
MFAP5	-3.78216836672966	0.038115682658477
ASB13	-3.69970620653769	0.056123607017186
RTN4R	-3.6566374846458	0.083342948229781
AC010754.1	-3.6566374846458	0.119860228257604
SFRP1	-3.61224336528735	0.234870327298392
PLA2G2A	-3.50301429553259	4.65E-05
CAB39L	-3.47022436041492	0.174838066300791
AC093827.4	-3.47022436041492	0.242669703025724
CFH	-3.44513337945209	3.52E-13
SLC66A1	-3.41959828734495	0.175035250447465
CCL21	-3.36713086745081	0.244959796347262
AL161421.1	-3.31268308342844	0.244959796347262
DNM3	-3.31268308342844	0.244959796347262
SHB	-3.31268308342844	0.244959796347262
C19orf33	-3.31268308342844	0.574364081245202
MAP3K20-AS1	-3.25609955506206	0.132671776116417
ZNF34	-3.25609955506206	0.342727255728418
AL353759.1	-3.25609955506206	0.463032261243148
TRDV1	-3.21851637225392	1.43E-05
HIST2H3D	-3.19720586600851	0.34287695629825
STARD5	-3.19720586600851	0.34287695629825
MEGF8	-3.19720586600851	0.34287695629825
CFD	-3.18041062346553	0
PRRT2	-3.13580532134436	0.469002907382248
CHEK2	-3.13580532134436	0.469002907382248
LINC02029	-3.13580532134436	0.603359631588326
DAPK1	-3.10409646161703	0.16892025015322
PRKAR2B	-3.07167498392464	0.068709223526401
TENM4	-3.07167498392464	0.469002907382248
AP001453.3	-3.07167498392464	0.469002907382248
CEACAM6	-3.07167498392464	0.469002907382248
LINC01891	-3.07167498392464	0.469002907382248
PLN	-3.07167498392464	0.469002907382248
BCAS1	-3.07167498392464	0.609456580489987
CCDC80	-3.02728086456619	0.003638701303957
SLC22A23	-3.00456078806611	0.612921805556514
IL1RL1	-3.00456078806611	0.790009220075819
VSTM2L	-2.98147717495307	0.101858735331477
MFAP4	-2.96979536990543	0.178752791408601
JRKL	-2.93417146017471	0.614086199358194
TMEM9B-AS1	-2.93417146017471	0.614086199358194
CACFD1	-2.93417146017471	0.614086199358194
DSG1	-2.93417146017471	0.797819000806646
CXCL14	-2.87711677078492	0
RIMKLB	-2.86017087873093	0.139846134563162
CRISPLD2	-2.86017087873093	0.803063706735861
XCL2	-2.78216836672965	0.196749318797404
ANK2	-2.78216836672965	0.803123125784217
AL035071.1	-2.78216836672965	0.803123125784217
UBAC2-AS1	-2.78216836672965	0.803123125784217
HIST1H4I	-2.78216836672965	0.803123125784217
AL139384.1	-2.78216836672965	0.803123125784217
LINC00294	-2.78216836672965	0.803123125784217
ANGPTL7	-2.78216836672965	0.977001209935675
ANG	-2.74152638223231	0.195448479101073
B3GNT9	-2.69970620653768	0.195652876427342
AC103591.3	-2.69970620653768	0.350858415099111
HIST1H3C	-2.69970620653768	0.98496672970726
PRUNE2	-2.69970620653768	0.98496672970726
PTHLH	-2.69970620653768	0.98496672970726
SLPI	-2.69970620653768	1
EGLN3	-2.61224336528735	2.77E-05
