	log2FoldChange	fdr
ATP6V1B1	-6.69785655712709	6.00E-12
PALMD	-6.15116407333365	5.36E-09
PPP1R13L	-6.0331668639352	2.85E-07
WFDC3	-5.82007998837879	0
HSD11B2	-5.8073549220576	1.40E-11
PKP1	-5.66119808654824	8.59E-06
RSPO1	-5.61812936465635	6.90E-06
MAP6	-5.53951952995999	2.98E-05
LNX1	-5.52793155568478	0.000112825888269
TBX3	-5.51624975063714	5.19E-05
EPB41L4B	-5.43171624042547	0.000213080476473
DDR1	-5.31520223169905	0.000110534660451
CISD1	-5.2461605872694	0.000340489990461
DEFB1	-5.21180908247862	0
KIF1C	-5.17364808748503	0.000778488291497
IMPA2	-5.14359085362885	0.000627595712238
EN1	-5.09729720135492	5.00E-07
KLK14	-5.0494686762643	5.60E-06
ABLIM1	-5.01667874114663	0.001477227617249
NECTIN4	-5	0.003854066428129
TMEM238	-4.9915877601838	8.88E-08
NOTUM	-4.95743953777195	3.28E-06
PDLIM3	-4.88207427543731	1.76E-12
CNFN	-4.87294326368518	2.06E-11
CEACAM6	-4.86835599418953	1.81E-10
ATP6V1C2	-4.86835599418953	3.40E-06
EFNA3	-4.81213998462298	4.76E-06
CYP51A1	-4.80255393579378	1.18E-05
HOPX	-4.79048110349321	0
CRB3	-4.78318861092685	0.009481168919366
HSPB8	-4.69984401444772	0
ERG28	-4.69267631802141	1.22E-05
SLC4A11	-4.66119808654824	0.030005420094377
MXRA8	-4.63982443575567	0.043900049924392
SERPINB5	-4.63982443575567	0
KLK1	-4.62901768079909	7.37E-05
ID4	-4.61812936465635	5.53E-05
ZBTB7C	-4.60715824683535	4.14E-05
WNT11	-4.5737352452979	0.022031354884038
GJB2	-4.50108994346614	2.02E-12
KLK8	-4.4502521918629	4.37E-09
PMM1	-4.40662525946265	0.055498153463921
CRABP2	-4.40345798038396	0
SLURP2	-4.38965218085893	0.012581229705975
NSG1	-4.38965218085893	3.40E-06
NCCRP1	-4.38109016735551	0.000908094638588
S100P	-4.37851162325373	0
PLS3	-4.34456429133039	2.91E-10
BICDL2	-4.34191957007483	0.00013994508037
DHCR7	-4.34191957007483	0.000453319331875
DGAT2	-4.31520223169905	5.04E-08
CALML5	-4.30761862700343	0
SPTSSB	-4.29776178375661	1.36E-11
NPR3	-4.274174963439	0.075199579681884
MBOAT2	-4.26023577248112	0.000808724654864
HSPBP1	-4.2461605872694	0.091935821600246
MYO1C	-4.2461605872694	0.129766213295421
A4GALT	-4.23670025802033	1.28E-05
GOT1	-4.2319467280497	0.000810244428197
LAD1	-4.21759143507263	0.00245896243192
RBBP9	-4.18844508941311	0.13369677921388
CLDN7	-4.17859730345676	4.76E-11
CSTA	-4.16298510442216	2.12E-09
FEZ2	-4.15869774601906	0.136772671968318
SLURP1	-4.15568899614672	2.39E-05
DMKN	-4.15008461571435	3.35E-10
TPPP3	-4.12832409697554	1.92E-13
PROM2	-4.09729720135491	0.168411489548699
KLK7	-4.09206055298877	7.59E-10
STAP2	-4.0815298854966	0.002524208325427
ATL2	-4.0815298854966	0.003257259117273
MANBAL	-4.06558834162758	0.148074479690425
RHOV	-4.03970970980197	3.70E-09
MAP7	-4.0331668639352	0.267104295832861
KLF5	-4.01667874114663	1.87E-09
C6orf15	-4	0.000334698518323
MACROD1	-4	0.0025325100505
MALL	-4	0.003269711074008
KLC3	-3.97745743134891	3.71E-05
GPRC5C	-3.97290633911773	3.94E-07
CDKN2B	-3.96605266807666	5.04E-09
AC008514.1	-3.96605266807666	0.012257553115513
INHBA	-3.96605266807666	0.00052855570499
F11R	-3.96605266807666	0.003269711074008
ASS1	-3.95743953777196	9.26E-05
