	log2FoldChange	fdr
CD40LG	-5.10153802646206	7.01033915089262E-06
FBLN1	-4.19173583543364	0.018788346270821
FCGR3A	-4.17087723053598	1.70721485728763E-11
MFAP5	-4.00532271120275	0.095068200169495
CFD	-3.82422670623738	0
DLX2	-3.79119790584991	0.157575032861854
PPM1L	-3.73230421679634	0.157722778346257
S1PR5	-3.68650052718323	2.69396519976989E-05
MAGI3	-3.67090367213219	0.255107772799226
CSF2	-3.60677333471249	0.030541048639462
LTK	-3.60677333471249	0.387591454276176
TOR4A	-3.46926981096255	0.389910597793249
TNKS1BP1	-3.46926981096255	0.389910597793249
CXCL12	-3.44502226471586	0.00025892832325
DCN	-3.44502226471586	1.54311748564358E-13
SLC4A10	-3.44012346530303	0.005702566464246
ITGAM	-3.3172667175175	0.078797081846627
AC027682.4	-3.3172667175175	0.590598223755791
AC009126.1	-3.3172667175175	0.590598223755791
FGF7	-3.3172667175175	0.590598223755791
IL23R	-3.23480455732552	0.36898363832638
SNX16	-3.23480455732552	0.867744919831895
TRBV11-2	-3.22664383634459	5.90871126904528E-08
CCN2	-3.14734171607519	0.138760043465904
TRAV8-4	-3.14734171607519	0.287340960439546
UBXN10-AS1	-3.14734171607519	0.867744919831895
IFNL1	-3.14734171607519	0.867744919831895
ARMCX5	-3.14734171607519	0.867744919831895
SOX12	-3.14734171607519	0.867744919831895
MATN2	-3.14734171607519	0.867744919831895
AC004938.2	-3.14734171607519	0.867744919831895
SMPD3	-3.14734171607519	0.867744919831895
C3	-3.14734171607519	0.867744919831895
TERC	-3.14734171607519	0.867744919831895
ITGB4	-3.14734171607519	1
CXCL14	-3.13180086517941	0
GDPD5	-3.08594117141104	0.007671731821509
LUCAT1	-3.05423231168371	0.200934029871685
TMEM121	-3.05423231168371	1
TRAV22	-3.05423231168371	1
AL513303.1	-3.05423231168371	1
TRAV13-2	-2.95469663813279	0.340125295348767
ZFP69B	-2.95469663813279	1
AL136038.5	-2.95469663813279	1
LINC02384	-2.95469663813279	1
KANK3	-2.95469663813279	1
NR2F6	-2.95469663813279	1
Z97192.3	-2.95469663813279	1
RAVER2	-2.95469663813279	1
CACNB3	-2.95469663813279	1
DDX43	-2.95469663813279	1
AC005224.2	-2.95469663813279	1
TRBV13	-2.95469663813279	1
TRBV5-6	-2.91287646243816	1
SLIT3	-2.90222921823866	0.309081657179525
CCDC80	-2.8843073102414	0.058101389134024
TDRKH	-2.84778143421628	0.309404825449326
TM6SF1	-2.84778143421628	1
TESMIN	-2.84778143421628	1
NEXN	-2.84778143421628	1
ADM	-2.84778143421628	1
BCAM	-2.81030672879762	0.517905530601039
GPR146	-2.73230421679634	1
LINC02762	-2.73230421679634	1
NRG2	-2.73230421679634	1
ACVR2A	-2.73230421679634	1
NPIPB3	-2.73230421679634	1
CD40	-2.73230421679634	1
MT3	-2.73230421679634	1
COLQ	-2.73230421679634	1
GPR141	-2.73230421679634	1
ZNF449	-2.73230421679634	1
HMGN5	-2.73230421679634	1
SERINC2	-2.73230421679634	1
FANCG	-2.73230421679634	1
ZNF594	-2.73230421679634	1
FGF9	-2.73230421679634	1
UBOX5	-2.73230421679634	1
IL4	-2.73230421679634	1
ME1	-2.73230421679634	1
CISH	-2.70805667054967	3.25309271320189E-05
HDGFL3	-2.6709036721322	0.03270168750203
IRF5	-2.6709036721322	0.670133650417936
TRBV6-1	-2.60677333471249	0.217191258181683
