	log2FoldChange	fdr
PLA2G2A	-4.21582227922391	0.002356960013337
USP53	-3.82503232619175	0.032522716201731
MEN1	-3.75944398456417	0.046678188392094
AP1AR	-3.72549665264083	0.065176353085766
VCAN	-3.69073123448016	0.123431226821592
PROSER1	-3.65510732474943	0.000270695069179
CHIC1	-3.65510732474943	0.065304872368677
LUM	-3.65510732474943	0.602890389215991
FCRL3	-3.61858144872432	0.166453045384857
TRMT6	-3.46246224680704	0.169835108354815
FCGR2B	-3.46246224680704	0.293531645747103
ACTR8	-3.37757334922052	0.228628405520837
PPOX	-3.33317922986207	0.228628405520837
NSUN6	-3.33317922986207	0.228628405520837
CFD	-3.3249587230571	4.26852282204117E-05
FBXO44	-3.28737554024895	0.008712126765465
LRRC42	-3.28737554024895	0.30007278481015
FBXO30	-3.28737554024895	0.30007278481015
IDE	-3.28737554024895	0.30007278481015
FKBP1B	-3.24006982547059	0.30007278481015
DIS3L	-3.24006982547059	0.30007278481015
SPECC1	-3.24006982547059	0.388646284877987
MBNL3	-3.24006982547059	0.388646284877987
AL392172.1	-3.19116022498964	0.389232826747329
GCFC2	-3.19116022498964	0.389232826747329
RRAGB	-3.19116022498964	0.389232826747329
CEP126	-3.19116022498964	0.494860777627209
ZNF184	-3.16606924402681	0.034699279968854
PYROXD2	-3.14053415191967	0.389232826747329
TCP11L1	-3.14053415191967	0.389232826747329
NEIL1	-3.14053415191967	0.389232826747329
SSX2IP	-3.11453894338674	0.035044874633214
MRPL30	-3.08806673202554	0.024869760899235
CROCC	-3.08806673202554	0.496014321219157
KLHL42	-3.08806673202554	0.496014321219157
TRMT2B	-3.08806673202554	0.496014321219157
DBT	-3.08806673202554	0.627151026077571
TLK2	-3.03361894800317	0.049443637500843
C1orf109	-3.03361894800317	0.496014321219157
BBS9	-3.03361894800317	0.496014321219157
RNF165	-3.03361894800317	0.496014321219157
GAMT	-3.03361894800317	0.496014321219157
DST	-3.03361894800317	0.779997119619797
CCL14	-3.03361894800317	1
GCC1	-2.9770354196368	0.629900213820889
ZNF441	-2.9770354196368	0.629900213820889
PPT2	-2.9770354196368	0.629900213820889
GPR141	-2.91814173058323	0.005775123897526
ZSCAN29	-2.91814173058323	0.629900213820889
C22orf34	-2.91814173058323	0.629900213820889
TRAPPC13	-2.91814173058323	0.629900213820889
ZBTB22	-2.91814173058323	0.629900213820889
SCD5	-2.91814173058323	0.780723078380288
SMYD4	-2.91814173058323	0.780723078380288
COLGALT1	-2.91814173058323	0.780723078380288
NXPE3	-2.85674118591908	0.091698735684961
LIN52	-2.85674118591908	0.124926387540698
METTL8	-2.85674118591908	0.780723078380288
KLC2	-2.85674118591908	0.780723078380288
CLU	-2.82503232619174	0.653896761283435
TATDN2	-2.81430591959869	0.011549318747519
RCC1	-2.79261084849936	0.780723078380288
DARS2	-2.79261084849936	0.780723078380288
PLEKHM3	-2.79261084849936	0.780723078380288
IRAK2	-2.79261084849936	0.780723078380288
ACY1	-2.79261084849936	0.780723078380288
ABHD6	-2.79261084849936	0.780723078380288
JAKMIP1	-2.79261084849936	0.780723078380288
LGALS9B	-2.79261084849936	0.780723078380288
NINL	-2.79261084849936	0.953057609873023
BGN	-2.79261084849936	1
CALHM6	-2.75944398456417	0.218211623342722
KCTD18	-2.72549665264083	0.954297684248457
ERLIN1	-2.72549665264083	0.954297684248457
MTRF1	-2.72549665264083	0.954297684248457
C16orf87	-2.72549665264083	0.954297684248457
RNASEH2A	-2.72549665264083	0.954297684248457
EPS15L1	-2.69073123448016	0.004818139274228
TKTL1	-2.69073123448016	0.997449333575895
NRROS	-2.65510732474943	0.04395041992351
MYO18A	-2.65510732474943	0.220606265034633
POLG2	-2.65510732474943	0.220606265034633
TRIM39	-2.65510732474943	0.280660563258251
SLFN11	-2.65510732474943	0.280660563258251
POC5	-2.65510732474943	0.355888328426425
C10orf88	-2.65510732474943	0.954297684248457
EXD3	-2.65510732474943	0.954297684248457
TRMT61A	-2.65510732474943	0.954297684248457
GPX7	-2.65510732474943	0.954297684248457
IL1RAP	-2.65510732474943	0.954297684248457
C7orf31	-2.65510732474943	0.954297684248457
MSANTD4	-2.65510732474943	0.954297684248457
TECPR2	-2.65510732474943	0.954297684248457
